id_meta,n,d,area,type_synthesis
chen_2014,40,0.5833333333333334,c,ma
chen_2014,35,0.010000125002343799,c,ma
chen_2014,65,0.652125970874945,c,ma
chen_2014,54,0.7230769971004929,c,ma
chen_2014,33,0.7472647177570733,c,ma
chen_2014,151,0.26222524504216305,c,ma
chen_2014,160,0.628970902033151,c,ma
chen_2014,63,1.0649549865357935,c,ma
chen_2014,34,0.4082482904638631,c,ma
chen_2014,118,0.1605144707810256,c,ma
chen_2014,71,0.3450221204771904,c,ma
chen_2014,65,0.4295790167172091,c,ma
chen_2014,48,0.7472647177570733,c,ma
chen_2014,1556,0.796528209922106,c,ma
chen_2014,80,0.3659776557130101,c,ma
d'alessio_2002,100,0.3764989284732673,c,ma
d'alessio_2002,251,0.4467447613884169,c,ma
d'alessio_2002,160,0.38071586064623464,c,ma
d'alessio_2002,60,0.5653138873916902,c,ma
d'alessio_2002,152,0.9043180519698459,c,ma
d'alessio_2002,116,0.7015455962564179,c,ma
d'alessio_2002,18,-0.9994030893187109,c,ma
d'alessio_2002,132,0.6128986244904514,c,ma
d'alessio_2002,66,0.24174688920761409,c,ma
d'alessio_2002,38,0.32001973199638284,c,ma
d'alessio_2002,48,0.610611474803101,c,ma
d'alessio_2002,59,0.26222524504216305,c,ma
d'alessio_2002,72,0.5653138873916902,c,ma
d'alessio_2002,418,0.3492042079303926,c,ma
d'alessio_2002,136,0.37228684020406977,c,ma
d'alessio_2002,96,0.4167641805345848,c,ma
daneman_1996,51,0.8728715609439696,c,ma
daneman_1996,102,0.652125970874945,c,ma
daneman_1996,28,1.8050514815442862,c,ma
daneman_1996,36,0.6755205294731985,c,ma
daneman_1996,49,0.9255952497146459,c,ma
daneman_1996,64,0.10012523486435178,c,ma
daneman_1996,64,1.1858060399236896,c,ma
daneman_1996,64,0.628970902033151,c,ma
daneman_1996,20,1.4614754242572572,c,ma
daneman_1996,21,1.2500034765630976,c,ma
daneman_1996,26,1.4239829868066851,c,ma
daneman_1996,27,1.0361306468792117,c,ma
daneman_1996,30,1.387461041260671,c,ma
daneman_1996,36,1.3518527388387496,c,ma
daneman_1996,95,0.796528209922106,c,ma
daneman_1996,67,1.1547005383792517,c,ma
daneman_1996,70,0.8728715609439696,c,ma
daneman_1996,40,1.2500034765630976,c,ma
daneman_1996,40,0.9799578870122228,c,ma
daneman_1996,68,1.6224670321569188,c,ma
daneman_1996,34,2.338738328607322,c,ma
daneman_1996,72,1.0649549865357935,c,ma
daneman_1996,33,0.4295790167172091,c,ma
daneman_1996,84,0.5833333333333334,c,ma
daneman_1996,52,0.8990385001692824,c,ma
daneman_1996,723,0.796528209922106,c,ma
daneman_1996,37,1.2831708326087454,c,ma
daneman_1996,71,1.1858060399236896,c,ma
daneman_1996,29,1.2500034765630976,c,ma
daneman_1996,89,0.628970902033151,c,ma
daneman_1996,32,0.9525614565086916,c,ma
daneman_1996,63,0.8470758203687988,c,ma
daneman_1996,135,0.5385204638677067,c,ma
daneman_1996,98,1.4239829868066851,c,ma
daneman_1996,50,1.4999999999999998,c,ma
daneman_1996,243,0.6991666649389917,c,ma
daneman_1996,50,0.6755205294731985,c,ma
daneman_1996,68,0.6991666649389917,c,ma
dato-on_2003,40,2.136229569023249,c,ma
dato-on_2003,133,2.136229569023249,c,ma
dato-on_2003,98,2.075005503735246,c,ma
dato-on_2003,156,1.9603921176392136,c,ma
dato-on_2003,51,1.7570350646145068,c,ma
dato-on_2003,172,1.7106744068953994,c,ma
dato-on_2003,32,1.5396237050168617,c,ma
dato-on_2003,144,1.5396237050168617,c,ma
dato-on_2003,23,1.4999999999999998,c,ma
dato-on_2003,182,1.387461041260671,c,ma
dato-on_2003,41,1.387461041260671,c,ma
dato-on_2003,166,1.2831708326087454,c,ma
dato-on_2003,36,1.1242110596527732,c,ma
dato-on_2003,87,1.0078065197205377,c,ma
dato-on_2003,32,0.9799578870122228,c,ma
dato-on_2003,234,0.9255952497146459,c,ma
dato-on_2003,105,0.8470758203687988,c,ma
dato-on_2003,48,0.796528209922106,c,ma
dato-on_2003,72,0.7717436331412897,c,ma
dato-on_2003,49,0.7717436331412897,c,ma
dato-on_2003,117,0.7472647177570733,c,ma
dato-on_2003,111,0.6991666649389917,c,ma
dato-on_2003,80,0.6991666649389917,c,ma
dato-on_2003,80,0.6991666649389917,c,ma
dato-on_2003,105,0.6755205294731985,c,ma
dato-on_2003,38,0.652125970874945,c,ma
dato-on_2003,40,0.628970902033151,c,ma
dato-on_2003,81,0.6060437322090948,c,ma
dato-on_2003,108,0.6060437322090948,c,ma
dato-on_2003,72,0.5833333333333334,c,ma
dato-on_2003,180,0.5385204638677067,c,ma
dato-on_2003,241,0.5385204638677067,c,ma
dato-on_2003,86,0.5163977794943222,c,ma
dato-on_2003,64,0.5163977794943222,c,ma
dato-on_2003,44,0.5163977794943222,c,ma
dato-on_2003,384,0.5163977794943222,c,ma
dato-on_2003,48,0.472672040177118,c,ma
dato-on_2003,64,0.38705047652302255,c,ma
dato-on_2003,44,0.3659776557130101,c,ma
dato-on_2003,139,0.3659776557130101,c,ma
dato-on_2003,144,0.3659776557130101,c,ma
dato-on_2003,221,0.3450221204771904,c,ma
dato-on_2003,180,0.30343304245450414,c,ma
dato-on_2003,160,0.26222524504216305,c,ma
dato-on_2003,69,0.24174688920761409,c,ma
dato-on_2003,286,0.24174688920761409,c,ma
dato-on_2003,219,0.2213432019235216,c,ma
dato-on_2003,160,0.2213432019235216,c,ma
dato-on_2003,61,0.2213432019235216,c,ma
dato-on_2003,80,0.1605144707810256,c,ma
dato-on_2003,180,-0.20100756305184242,c,ma
dato-on_2003,198,-0.26222524504216305,c,ma
dato-on_2003,44,-0.4944513860581975,c,ma
dato-on_2003,153,-0.628970902033151,c,ma
dato-on_2003,56,-1.1547005383792517,c,ma
dewald_2010,1012,0.14639057874066938,c,ma
dewald_2010,262,-0.142359269881651,c,ma
dewald_2010,1339,0.1443747054859272,c,ma
dewald_2010,410,0.3241763593892431,c,ma
dewald_2010,1200,0,c,ma
dewald_2010,2259,0.26222524504216305,c,ma
dewald_2010,888,0.2213432019235216,c,ma
dewald_2010,124,0.3933963403380198,c,ma
dewald_2010,658,0.0020000010000007498,c,ma
dewald_2010,601,0.17668545570588975,c,ma
dewald_2010,129,0.37018259330726216,c,ma
dewald_2010,386,0.15042366316917005,c,ma
dewald_2010,146,0.3075738564131337,c,ma
dewald_2010,205,0.16455416422139105,c,ma
dewald_2010,2210,0.13027549829323126,c,ma
dewald_2010,310,0.014000343012605766,c,ma
dewald_2010,3060,0.12021658495512914,c,ma
doyle_2016,44,0.94,c,ma
doyle_2016,30,0.79,c,ma
doyle_2016,40,0.12,c,ma
doyle_2016,41,0.01,c,ma
doyle_2016,29,-0.66,c,ma
doyle_2016,28,0.98,c,ma
doyle_2016,20,1.77,c,ma
doyle_2016,44,-0.61,c,ma
doyle_2016,45,0.52,c,ma
doyle_2016,45,-0.32,c,ma
doyle_2016,28,0,c,ma
doyle_2016,75,0.02,c,ma
doyle_2016,19,-0.91,c,ma
doyle_2016,18,0.69,c,ma
doyle_2016,32,0.67,c,ma
doyle_2016,46,0.78,c,ma
doyle_2016,32,-0.99,c,ma
doyle_2016,46,0.48,c,ma
doyle_2016,59,0.7,c,ma
doyle_2016,60,0.54,c,ma
doyle_2016,57,1.08,c,ma
doyle_2016,38,1.01,c,ma
doyle_2016,33,0.17,c,ma
doyle_2016,111,0.5,c,ma
doyle_2016,92,0.43,c,ma
doyle_2016,25,0.87,c,ma
doyle_2016,34,0.91,c,ma
doyle_2016,85,0.01,c,ma
doyle_2016,84,0.28,c,ma
doyle_2016,26,0.48,c,ma
doyle_2016,112,0.17,c,ma
doyle_2016,55,0.69,c,ma
doyle_2016,177,0.23,c,ma
doyle_2016,78,0.52,c,ma
doyle_2016,80,0.56,c,ma
doyle_2016,110,-0.14,c,ma
doyle_2016,99,0.16,c,ma
doyle_2016,76,0.27,c,ma
doyle_2016,29,-0.17,c,ma
doyle_2016,65,-0.14,c,ma
doyle_2016,57,0.24,c,ma
doyle_2016,236,-0.12,c,ma
doyle_2016,44,0.13,c,ma
doyle_2016,59,-0.38,c,ma
doyle_2016,59,0.26,c,ma
doyle_2016,100,0.31,c,ma
doyle_2016,33,0.98,c,ma
doyle_2016,37,0.44,c,ma
doyle_2016,33,0.06,c,ma
doyle_2016,37,-0.8,c,ma
doyle_2016,36,0.73,c,ma
doyle_2016,37,0.8,c,ma
doyle_2016,54,0.27,c,ma
doyle_2016,27,0.06,c,ma
doyle_2016,32,0.82,c,ma
doyle_2016,64,-0.59,c,ma
doyle_2016,52,0.74,c,ma
doyle_2016,76,0.55,c,ma
doyle_2016,75,0.82,c,ma
doyle_2016,173,0.26,c,ma
doyle_2016,76,0.27,c,ma
doyle_2016,37,0.63,c,ma
doyle_2016,55,0,c,ma
doyle_2016,35,0.47,c,ma
doyle_2016,114,-0.28,c,ma
doyle_2016,64,0.53,c,ma
doyle_2016,138,0.23,c,ma
doyle_2016,68,0.62,c,ma
doyle_2016,25,1.14,c,ma
doyle_2016,25,1.1,c,ma
doyle_2016,32,0.78,c,ma
doyle_2016,52,0.61,c,ma
doyle_2016,21,1.07,c,ma
doyle_2016,20,1.2,c,ma
doyle_2016,40,1.07,c,ma
doyle_2016,75,0.25,c,ma
doyle_2016,237,0.01,c,ma
doyle_2016,30,0.64,c,ma
doyle_2016,116,0.51,c,ma
doyle_2016,74,0.61,c,ma
doyle_2016,46,-0.09,c,ma
doyle_2016,69,-0.12,c,ma
doyle_2016,68,-0.23,c,ma
doyle_2016,64,-0.13,c,ma
doyle_2016,35,-0.05,c,ma
doyle_2016,42,0.43,c,ma
doyle_2016,48,-0.15,c,ma
doyle_2016,42,-0.03,c,ma
doyle_2016,30,1.19,c,ma
doyle_2016,90,0.02,c,ma
doyle_2016,30,-0.66,c,ma
doyle_2016,29,0.67,c,ma
doyle_2016,72,-0.13,c,ma
doyle_2016,57,-0.3,c,ma
doyle_2016,57,-0.01,c,ma
doyle_2016,55,-0.69,c,ma
doyle_2016,56,-0.01,c,ma
doyle_2016,56,1.38,c,ma
doyle_2016,49,-0.05,c,ma
doyle_2016,49,1.3,c,ma
doyle_2016,28,0.21,c,ma
doyle_2016,29,1.05,c,ma
doyle_2016,40,0.17,c,ma
doyle_2016,40,1.42,c,ma
doyle_2016,59,0.74,c,ma
doyle_2016,92,0.92,c,ma
doyle_2016,33,0.57,c,ma
doyle_2016,28,0.9,c,ma
doyle_2016,68,0.41,c,ma
doyle_2016,80,0.64,c,ma
doyle_2016,36,0.13,c,ma
doyle_2016,20,0.35,c,ma
doyle_2016,30,0.33,c,ma
doyle_2016,13,1.17,c,ma
doyle_2016,586,-0.08,c,ma
doyle_2016,249,0.17,c,ma
doyle_2016,47,0.3,c,ma
doyle_2016,47,0.53,c,ma
doyle_2016,730,0.21,c,ma
doyle_2016,694,-0.04,c,ma
doyle_2016,95,0.03,c,ma
doyle_2016,63,0,c,ma
doyle_2016,47,-0.51,c,ma
doyle_2016,44,-0.16,c,ma
doyle_2016,126,-0.33,c,ma
doyle_2016,124,0.46,c,ma
doyle_2016,87,0.67,c,ma
doyle_2016,89,0.53,c,ma
doyle_2016,131,0.39,c,ma
doyle_2016,95,0.17,c,ma
doyle_2016,27,-0.17,c,ma
eastvold_2012,80,-0.49,c,ma
eastvold_2012,60,-1.46,c,ma
eastvold_2012,40,-0.84,c,ma
eastvold_2012,64,-0.29,c,ma
eastvold_2012,72,-0.71,c,ma
eastvold_2012,46,-0.28,c,ma
eastvold_2012,83,-0.15,c,ma
eastvold_2012,51,-0.16,c,ma
eastvold_2012,80,-0.18,c,ma
eastvold_2012,120,0.92,c,ma
eastvold_2012,48,0.75,c,ma
eastvold_2012,20,0.35,c,ma
eastvold_2012,70,-0.12,c,ma
eastvold_2012,94,0.21,c,ma
eastvold_2012,72,-0.29,c,ma
eastvold_2012,30,-0.19,c,ma
eastvold_2012,80,0.41,c,ma
eastvold_2012,80,0.55,c,ma
eastvold_2012,45,0.14,c,ma
eastvold_2012,75,-0.21,c,ma
eastvold_2012,60,-0.21,c,ma
eastvold_2012,60,-0.67,c,ma
eastvold_2012,120,0.66,c,ma
eastvold_2012,60,-0.21,c,ma
eastvold_2012,64,-0.18,c,ma
eastvold_2012,68,-0.68,c,ma
eastvold_2012,72,-0.51,c,ma
eastvold_2012,46,-0.24,c,ma
eastvold_2012,74,-0.15,c,ma
eastvold_2012,106,-0.08,c,ma
eastvold_2012,48,-0.51,c,ma
eastvold_2012,55,-0.19,c,ma
eastvold_2012,96,-0.56,c,ma
eastvold_2012,44,0.68,c,ma
eastvold_2012,96,-0.44,c,ma
eastvold_2012,84,-0.56,c,ma
eastvold_2012,72,-0.74,c,ma
eastvold_2012,132,-0.28,c,ma
eastvold_2012,45,-1.22,c,ma
eastvold_2012,16,0.17,c,ma
eastvold_2012,18,-1.54,c,ma
eastvold_2012,72,-0.62,c,ma
eastvold_2012,240,-0.62,c,ma
eastvold_2012,160,0.08,c,ma
eastvold_2012,80,0.22,c,ma
eastvold_2012,30,-1.07,c,ma
eastvold_2012,120,0.04,c,ma
eastvold_2012,48,0.89,c,ma
eastvold_2012,24,-2.16,c,ma
eastvold_2012,132,-0.33,c,ma
eastvold_2012,26,-0.8,c,ma
eastvold_2012,108,-0.41,c,ma
eastvold_2012,61,-1.04,c,ma
eastvold_2012,72,-0.63,c,ma
eastvold_2012,48,-0.92,c,ma
eastvold_2012,96,-1.4,c,ma
eastvold_2012,64,0.64,c,ma
eastvold_2012,50,1.07,c,ma
eastvold_2012,108,-0.11,c,ma
eastvold_2012,30,1.26,c,ma
eastvold_2012,30,-0.9,c,ma
eastvold_2012,32,-1.54,c,ma
eastvold_2012,28,-0.86,c,ma
evers_2014,254,-0.07,c,ma
evers_2014,202,0.42,c,ma
evers_2014,198,0.31,c,ma
evers_2014,201,0.24,c,ma
fawcett_2013,40,0.35,c,ma
fawcett_2013,40,-0.01,c,ma
fawcett_2013,40,0.52,c,ma
fawcett_2013,36,0.67,c,ma
fawcett_2013,22,1.02,c,ma
fawcett_2013,42,0.36,c,ma
fawcett_2013,44,-0.02,c,ma
fawcett_2013,40,1.06,c,ma
fawcett_2013,30,0.34,c,ma
fawcett_2013,30,0.4,c,ma
fawcett_2013,36,0.29,c,ma
fawcett_2013,36,-0.16,c,ma
herlitz_2013,47,-0.46,c,ma
herlitz_2013,110,-0.29,c,ma
herlitz_2013,26,0,c,ma
herlitz_2013,20,0.04,c,ma
herlitz_2013,47,0.07,c,ma
herlitz_2013,32,0.08,c,ma
herlitz_2013,1279,0.12,c,ma
herlitz_2013,288,0.14,c,ma
herlitz_2013,3448,0.14,c,ma
herlitz_2013,52,0.15,c,ma
herlitz_2013,96,0.2,c,ma
herlitz_2013,459,0.24,c,ma
herlitz_2013,29,0.25,c,ma
herlitz_2013,190,0.27,c,ma
herlitz_2013,52,0.27,c,ma
herlitz_2013,1000,0.28,c,ma
herlitz_2013,113,0.28,c,ma
herlitz_2013,98,0.31,c,ma
herlitz_2013,237,0.34,c,ma
herlitz_2013,80,0.35,c,ma
herlitz_2013,185,0.37,c,ma
herlitz_2013,185,0.37,c,ma
herlitz_2013,192,0.38,c,ma
herlitz_2013,187,0.38,c,ma
herlitz_2013,44,0.4,c,ma
herlitz_2013,197,0.43,c,ma
herlitz_2013,162,0.43,c,ma
herlitz_2013,93,0.44,c,ma
herlitz_2013,84,0.54,c,ma
herlitz_2013,18,0.55,c,ma
herlitz_2013,219,0.57,c,ma
herlitz_2013,100,0.6,c,ma
herlitz_2013,112,0.61,c,ma
herlitz_2013,106,0.61,c,ma
herlitz_2013,24,0.66,c,ma
herlitz_2013,34,0.67,c,ma
herlitz_2013,35,0.73,c,ma
herlitz_2013,172,0.77,c,ma
herlitz_2013,36,0.81,c,ma
herlitz_2013,21,0.92,c,ma
herlitz_2013,60,0.96,c,ma
herlitz_2013,80,1.18,c,ma
herlitz_2013,26,1.2,c,ma
hinshaw_1991,72,0.908,c,ma
hinshaw_1991,10,-0.032,c,ma
hinshaw_1991,10,0.133,c,ma
hinshaw_1991,10,0.132,c,ma
hinshaw_1991,10,1.711,c,ma
hinshaw_1991,12,-0.796,c,ma
hinshaw_1991,15,-0.384,c,ma
hinshaw_1991,18,-0.135,c,ma
hinshaw_1991,14,-0.306,c,ma
hinshaw_1991,6,0.23,c,ma
hinshaw_1991,6,0.63,c,ma
hinshaw_1991,20,0.64,c,ma
hinshaw_1991,20,0.69,c,ma
hinshaw_1991,12,0.582,c,ma
hinshaw_1991,21,1.751,c,ma
hinshaw_1991,21,0.795,c,ma
hinshaw_1991,7,2.222,c,ma
hinshaw_1991,36,0.511,c,ma
hinshaw_1991,36,0.571,c,ma
hinshaw_1991,36,0.025,c,ma
hinshaw_1991,17,1.051,c,ma
hinshaw_1991,13,1.478,c,ma
hinshaw_1991,13,0.69,c,ma
hinshaw_1991,10,2.52,c,ma
hinshaw_1991,10,0.07,c,ma
hinshaw_1991,5,-0.068,c,ma
hinshaw_1991,5,1.531,c,ma
hinshaw_1991,10,0.487,c,ma
hinshaw_1991,10,0.42,c,ma
hinshaw_1991,10,0.293,c,ma
hinshaw_1991,10,0.373,c,ma
hinshaw_1991,38,1.356,c,ma
hinshaw_1991,21,0.02,c,ma
hinshaw_1991,25,0.48,c,ma
hinshaw_1991,25,1.214,c,ma
hinshaw_1991,25,0.531,c,ma
hinshaw_1991,25,0.9,c,ma
hinshaw_1991,25,1.367,c,ma
hinshaw_1991,25,0.582,c,ma
hinshaw_1991,12,1.097,c,ma
hinshaw_1991,10,0.204,c,ma
hinshaw_1991,10,0.364,c,ma
hinshaw_1991,18,1.49,c,ma
hinshaw_1991,18,1.53,c,ma
